date,open,high,low,close,volume
2014-01-02,98.8487,99.3588,98.0265,98.0853,1943580
2014-01-03,98.4121,98.5537,97.4974,97.6329,1553444
2014-01-06,97.8043,98.0365,96.5278,96.9404,2546237
2014-01-07,96.9314,97.067,96.0863,96.4989,2753219
2014-01-08,96.6434,96.6434,94.8488,94.9524,5527456
2014-01-09,96.769,99.1795,94.9524,98.6723,6916837
2014-01-10,98.4121,98.7978,97.1526,98.1212,3350746
2014-01-13,97.4506,97.8342,95.4237,95.5951,3801582
2014-01-14,95.9807,97.2872,95.8751,96.7879,2786934
2014-01-15,96.6723,97.1816,95.9807,96.7979,2218750
2014-01-16,96.8437,96.9892,96.0197,96.2498,2327726
2014-01-17,96.2787,97.1038,96.1343,96.8338,3252176
2014-01-21,96.2887,96.6922,95.6439,95.7217,2534828
2014-01-22,95.7895,95.913,94.6524,94.6914,3011362
2014-01-23,94.481,94.508,93.6011,93.936,2596794
2014-01-24,93.7785,94.0018,93.1897,93.3689,3847567
2014-01-27,93.7397,94.6814,93.2933,94.1612,4552069
2014-01-28,94.508,95.5841,94.4342,95.2374,2843258
2014-01-29,94.9524,95.077,93.3591,93.4607,2829611
2014-01-30,93.9071,94.4711,93.3401,93.8881,1956698
2014-01-31,92.5758,94.3106,92.5479,93.5653,2577252
2014-02-03,94.0944,94.0944,91.6172,91.7348,3748102
2014-02-04,92.2071,92.6934,91.1648,92.3386,3037932
2014-02-05,91.7616,92.2688,91.4139,92.0198,2851268
2014-02-06,94.1044,95.4237,94.0944,95.1447,4509539
2014-02-07,95.1158,95.4516,94.3864,94.9424,2640290
2014-02-10,94.9235,94.9892,93.7596,94.783,2247917
2014-02-11,94.8398,95.9031,94.481,95.7695,2135654
2014-02-12,95.9419,96.3833,95.4516,95.8751,2081243
2014-02-13,95.3032,96.7979,95.3032,96.7022,1900760
2014-02-14,96.1721,97.2592,95.624,96.9504,1820514
2014-02-18,97.1038,97.2004,95.9609,96.3165,2469666
2014-02-19,96.1243,96.2887,95.4237,95.9609,2161528
2014-02-20,95.6828,96.4989,95.077,96.0863,2200288
2014-02-21,96.3545,96.4421,94.2748,94.481,4382425
2014-02-24,94.7112,95.8751,94.489,95.1348,2737211
2014-02-25,95.1826,96.769,95.1826,96.4123,2317987
2014-02-26,96.4511,97.5074,96.3265,96.759,2307764
2014-02-27,96.8826,97.2104,96.2787,97.047,1646195
2014-02-28,96.9314,98.0754,96.769,97.4884,2522576
2014-03-03,97.047,97.7096,96.1243,96.6633,2001180
2014-03-04,97.344,97.5752,96.7401,97.3728,2168473
2014-03-05,97.306,97.613,96.7022,97.2394,2776656
