date,open,high,low,close,volume
2014-01-02,45.7199,45.8663,45.4508,45.6384,19939980
2014-01-03,45.7042,46.221,45.6384,45.991,18135656
2014-01-06,46.386,46.6277,46.1237,46.2583,22399403
2014-01-07,46.5982,46.5982,45.5628,45.7278,22789781
2014-01-08,45.8997,46.1905,45.712,46.1571,18739946
2014-01-09,46.2426,46.2583,45.7356,46.0736,16896912
2014-01-10,46.0009,46.0736,45.6178,45.8604,16202980
2014-01-13,45.8752,46.0009,45.1088,45.2404,26480428
2014-01-14,45.712,45.9302,45.1314,45.2728,38667706
2014-01-15,45.265,46.7672,45.265,46.6444,44924099
2014-01-16,46.0962,46.9018,46.0578,46.2504,27664901
2014-01-17,46.4224,46.439,45.4998,45.5628,26862898
2014-01-21,45.5362,45.8201,45.1452,45.6098,24942465
2014-01-22,45.7356,45.7356,45.0224,45.153,19747293
2014-01-23,44.7306,44.7689,44.0704,44.2767,33468315
2014-01-24,43.8965,44.1873,43.195,43.195,34577039
2014-01-27,43.2324,43.7403,42.8777,43.195,30536102
2014-01-28,43.4072,44.1726,43.3129,43.702,23030188
2014-01-29,43.0938,43.8051,43.0044,43.5399,32486415
2014-01-30,43.9643,44.2128,43.6165,43.9054,21754616
2014-01-31,43.5163,43.9938,43.2638,43.4072,23214644
2014-02-03,43.5163,43.8444,42.4955,42.582,36439302
2014-02-04,42.8875,43.3974,42.8099,43.086,26497899
2014-02-05,43.2324,43.476,42.7932,43.2854,24867978
2014-02-06,43.3974,44.3376,43.2785,44.2826,26682766
2014-02-07,44.4172,44.6372,44.1116,44.3906,31967795
2014-02-10,44.5066,44.6274,44.2128,44.487,18779744
2014-02-11,44.3838,45.1402,44.3622,45.0322,23995515
2014-02-12,44.9576,45.2484,44.817,45.099,17150146
2014-02-13,44.7228,45.5538,44.6598,45.4998,21179777
2014-02-14,45.3928,45.654,45.2808,45.5932,16818258
2014-02-18,45.491,45.9862,45.3996,45.8604,19121017
2014-02-19,45.773,45.8997,44.8642,44.8956,23831916
2014-02-20,45.1088,45.4508,44.9026,45.1452,15895169
2014-02-21,45.153,45.3506,44.982,45.1698,21414711
2014-02-24,45.1766,45.654,45.1452,45.4998,20675036
2014-02-25,45.3996,45.4596,44.6274,44.7138,22950570
2014-02-26,44.982,44.988,44.0772,44.4938,30192310
2014-02-27,44.5154,44.6048,44.0154,44.4496,20761163
2014-02-28,44.3534,45.047,44.2128,44.5518,23721686
2014-03-03,44.144,44.2364,43.6676,44.0704,24428337
2014-03-04,44.653,44.9732,44.4084,44.8956,21901777
2014-03-05,45.0656,45.7042,44.9732,45.602,22653953
2014-03-06,45.8752,46.328,45.7886,46.1836,24774874
2014-03-07,46.5245,46.8841,46.3143,46.5736,23740722
2014-03-10,46.3683,46.6346,46.1571,46.4174,21637867
2014-03-11,46.6061,46.613,45.5774,45.6256,24789709
2014-03-12,45.2404,45.4418,45.0224,45.4134,22877362
2014-03-13,45.4762,45.7425,44.8396,45.0224,21927555
2014-03-14,44.7788,45.1088,44.3906,44.535,23768425
2014-03-17,44.8554,45.2404,44.7306,45.1452,17331845
2014-03-18,45.3318,45.602,45.1766,45.5214,16012133
2014-03-19,45.4674,46.2042,45.3928,45.712,27358349
2014-03-20,45.7572,47.4264,45.5774,47.1297,43027986
