date,open,high,low,close,volume
2014-01-02,67.1564,67.2604,66.3492,66.5904,16522531
2014-01-03,66.6031,66.8725,66.184,66.4309,13924695
2014-01-06,66.7149,66.8472,66.0147,66.5302,17750994
2014-01-07,66.4971,67.5688,66.3706,67.4705,16756331
2014-01-08,67.5513,67.5513,66.854,67.2497,16747958
2014-01-09,66.8909,67.0124,66.111,66.5963,17494964
2014-01-10,66.7499,67.1739,66.1703,67.1,15783619
2014-01-13,66.6935,66.8258,65.6004,65.7881,18143121
2014-01-14,65.9563,66.2695,65.8543,66.1703,13885883
2014-01-15,66.1956,66.321,65.8406,65.9418,14121634
2014-01-16,65.9496,66.1187,65.5907,66.0478,14113491
2014-01-17,66.2082,66.9814,65.8688,66.1956,23964782
2014-01-21,65.7599,66.0147,65.4477,65.7541,20743362
2014-01-22,66.0069,66.0555,65.3106,65.3437,17448688
2014-01-23,64.9196,65.0149,64.094,64.734,23065321
2014-01-24,64.2535,64.2535,63.2984,63.317,21973788
2014-01-27,63.4668,63.8053,63.2518,63.3647,18690076
2014-01-28,63.6516,64.0337,63.2645,63.8499,16139615
2014-01-29,63.3724,64.2194,63.1837,63.49,19764569
2014-01-30,62.7539,63.385,62.1227,62.7442,21918826
2014-01-31,61.9817,62.2716,61.2144,61.5207,26022488
2014-02-03,61.3564,61.6228,59.8442,60.1155,30530925
2014-02-04,60.3352,60.5093,59.672,60.095,26518664
2014-02-05,60.2808,60.4871,59.6672,59.7994,24558033
2014-02-06,60.1768,60.626,60.0017,60.3693,20303175
2014-02-07,60.5862,60.9294,60.3392,60.8984,18788446
2014-02-10,60.8059,60.8615,60.0756,60.1855,18208271
2014-02-11,60.2108,61.1814,60.1038,61.0715,19967536
2014-02-12,61.1881,61.756,60.9363,61.233,15994471
2014-02-13,60.9052,61.6141,60.7757,61.4654,14541930
2014-02-14,61.725,63.4832,61.582,63.2684,27272622
2014-02-18,63.2431,63.6778,62.7636,63.2431,19309837
2014-02-19,63.0602,64.06,63.0602,63.1614,18188450
2014-02-20,63.0943,64.3838,63.0292,64.1163,21456674
2014-02-21,64.1903,64.2573,63.8285,63.8879,16787061
2014-02-24,64.2787,65.3778,64.1426,64.8361,23849978
2014-02-25,64.9051,65.192,64.5161,64.7495,15862454
2014-02-26,64.9178,65.1201,64.2244,64.3985,13517647
2014-02-27,64.2573,64.5763,63.9774,64.4334,13537477
2014-02-28,64.5161,65.0986,64.3915,64.7213,18818719
2014-03-03,64.378,64.9051,63.7537,64.2048,17696469
2014-03-04,64.8361,65.1201,64.4509,64.8895,18691439
2014-03-05,64.0026,64.06,62.7938,63.0602,29505437
2014-03-06,62.9746,63.1555,62.7042,63.035,18759029
2014-03-07,63.4832,63.9073,63.1896,63.8616,18830426
2014-03-10,63.9617,64.2389,63.6399,64.2048,14825889
2014-03-11,64.1126,64.2643,62.8726,63.2013,18064420
2014-03-12,62.9532,63.5144,62.895,63.3373,14436946
2014-03-13,63.49,63.5776,62.7451,62.9532,14685077
2014-03-14,62.9144,63.3443,62.7189,62.8394,17450444
2014-03-17,63.1614,63.5533,63.0292,63.4093,12905304
2014-03-18,63.4706,64.0376,63.2431,63.6729,13026011
2014-03-19,63.6321,64.0667,62.609,63.0145,14720660
2014-03-20,62.8327,63.6942,62.5283,63.5854,15476860
2014-03-21,63.9355,64.5326,63.4045,63.4045,36416519
2014-03-24,63.7118,63.9355,63.5184,63.6262,14189875
2014-03-25,63.9355,64.4207,63.7332,63.8062,14576300
2014-03-26,64.2438,64.2573,63.4706,63.6661,16411870
2014-03-27,63.6204,64.8739,63.2372,64.7008,22947539
2014-03-28,64.8565,65.863,64.8565,65.6821,18328004
2014-03-31,66.2141,66.4552,65.4293,65.6694,18407448
2014-04-01,65.649,65.8378,65.401,65.7026,14094067
2014-04-02,65.5694,65.9253,65.3339,65.8484,14206549
2014-04-03,65.7696,66.2491,65.5917,65.8378,15049521
2014-04-04,66.0857,66.3639,65.401,65.4516,18587281
2014-04-07,65.3778,65.5694,65.0441,65.0626,15062424
2014-04-08,65.2192,65.8056,65.0441,65.5168,15247283
2014-04-09,65.7171,65.7443,64.9614,65.437,15565881
2014-04-10,65.1987,65.7395,64.695,65.0626,20005999
2014-04-11,64.8807,65.51,64.728,65.0246,19861146
2014-04-14,65.5412,65.9253,65.0393,65.7901,14295406
2014-04-15,65.6004,66.3551,65.26,66.3414,19279910
2014-04-16,66.5924,67.2965,66.536,67.1885,18605093
2014-04-17,67.0213,67.8838,67.0213,67.5085,22965531
2014-04-21,67.2497,67.8576,67.1564,67.8576,11904807
2014-04-22,67.5843,67.806,67.3752,67.4774,12215369
2014-04-23,67.6261,67.8712,67.4492,67.5639,12927572
2014-04-24,67.5513,67.633,67.1349,67.2401,13472961
2014-04-25,67.2245,67.6106,67.1808,67.5026,15464105
2014-04-28,67.7147,68.2116,67.4335,68.0142,18906493
2014-04-29,68.2885,68.9575,68.054,68.2068,15010148
2014-04-30,67.9947,68.8554,67.7068,68.8554,20774936
2014-05-01,68.5481,68.8408,68.0346,68.1785,16600882
2014-05-02,68.0405,69.1832,67.8888,68.5792,16614690
2014-05-05,68.3623,69.3281,68.2885,69.1832,11325837
2014-05-06,68.974,69.4476,68.8554,69.0198,14381975
2014-05-07,69.3203,69.5508,69.1005,69.3154,16372828
2014-05-08,69.3047,69.4409,68.69,68.7932,13272399
2014-05-09,68.8612,69.1597,68.5403,68.9993,13221049
2014-05-12,69.2599,69.2735,68.7251,69.1929,13046306
2014-05-13,69.1597,69.5226,68.9945,69.2794,11123090
2014-05-14,69.2794,69.5032,69.1093,69.2356,10340660
2014-05-15,69.1238,69.3203,67.912,68.2116,20179619
2014-05-16,68.0823,68.3623,67.9062,68.1844,15320011
2014-05-19,67.986,68.4383,67.9723,68.2729,8644913
2014-05-20,68.1504,68.4158,67.9947,68.1338,9071417
2014-05-21,68.2592,69.1832,68.1717,69.0538,11446929
2014-05-22,68.9167,69.011,68.6843,68.7057,7836712
2014-05-23,68.7386,68.9866,68.5481,68.5792,7994692
2014-05-27,68.7786,68.974,68.3138,68.6074,12350792
2014-05-28,68.5675,69.083,68.3944,68.4012,11209010
2014-05-29,68.7329,68.8078,68.376,68.5481,9032400
2014-05-30,68.2233,68.4635,67.9404,68.0405,16996617
2014-06-02,68.0405,68.2816,67.4627,67.6455,11468182
2014-06-03,67.4103,68.1504,67.4103,67.9539,13864398
2014-06-04,67.8303,68.0016,67.6572,67.7147,10569509
2014-06-05,67.7506,68.2467,67.6572,68.054,18166932
2014-06-06,68.0968,68.7932,68.0891,68.7728,13800338
2014-06-09,68.5618,69.0061,68.4907,68.7173,9462165
2014-06-10,68.69,68.8612,68.3623,68.6755,11697472
2014-06-11,68.4907,69.2599,68.3623,68.9993,15173513
2014-06-12,69.3563,69.6859,68.7523,68.8155,16873630
2014-06-13,68.9866,69.4865,68.7932,69.4788,12175148
2014-06-16,69.4272,69.8853,69.153,69.6646,13262954
2014-06-17,69.434,69.4409,68.6706,69.3203,13874288
2014-06-18,69.4272,69.6859,69.0771,69.5371,14147533
2014-06-19,69.4545,69.6081,68.8282,69.4691,16409175
2014-06-20,69.9076,70.4357,69.6781,70.2733,26122109
2014-06-23,70.4708,70.8189,70.3084,70.6565,12637310
2014-06-24,70.5184,70.7197,69.3563,69.5371,14341827
2014-06-25,69.2599,69.4623,68.7251,69.1296,15831927
2014-06-26,68.9945,69.295,68.2592,69.0538,12446252
2014-06-27,68.8204,68.904,68.1289,68.5062,22379451
2014-06-30,68.5062,68.5481,68.0346,68.1435,14089121
2014-07-01,68.4635,68.7659,68.2184,68.6074,12416498
2014-07-02,68.4635,68.8029,68.3867,68.7523,10274527
2014-07-03,68.9993,69.8999,68.8282,69.4409,10227573
2014-07-07,69.2599,69.4788,69.0489,69.4788,11789922
2014-07-08,69.2405,69.8766,69.153,69.6081,14205015
2014-07-09,69.6928,70.1761,69.5945,70.0837,11310456
2014-07-10,69.6334,69.7667,69.0606,69.4272,12607850
2014-07-11,69.3124,69.3796,68.5792,68.8681,11360641
2014-07-14,69.153,69.7744,69.1443,69.5032,12193307
2014-07-15,69.3961,69.4476,68.8681,69.3047,12942558
2014-07-16,69.4185,70.2461,69.4039,70.2315,13118698
2014-07-17,69.9719,70.3151,69.2356,69.2463,12034620
2014-07-18,69.5119,69.6928,68.9429,69.5371,12127038
2014-07-21,69.2794,69.8522,69.0771,69.7744,9798772
2014-07-22,70.1333,70.5261,70.0545,70.0769,10971856
2014-07-23,70.1391,70.7031,70.071,70.5622,10366536
2014-07-24,70.6681,70.885,70.3589,70.5836,11735137
2014-07-25,70.3443,70.3861,69.6928,69.8454,11501268
2014-07-28,69.9135,70.7527,69.6081,70.6477,13589003
2014-07-29,70.533,70.9084,70.071,70.0837,11900456
2014-07-30,70.1955,70.5,69.4272,69.8853,16358130
2014-07-31,69.0198,69.0198,66.9638,66.9698,27031915
2014-08-01,66.7528,67.3811,66.4542,66.8754,22036532
2014-08-04,66.8326,67.9783,66.5418,67.773,17953648
2014-08-05,67.2712,67.3752,66.185,66.4669,19310670
2014-08-06,66.4669,67.4492,66.4669,66.995,14650501
2014-08-07,67.5299,67.5785,66.0808,66.5155,14799628
2014-08-08,66.851,67.5464,66.5496,67.5085,16557217
2014-08-11,67.666,67.7613,67.1564,67.2906,12610522
2014-08-12,66.9366,67.2614,66.6712,67.1282,14061582
2014-08-13,67.4201,67.6874,67.1215,67.5386,11223382
2014-08-14,67.5464,67.666,67.2031,67.5386,9606479
2014-08-15,67.6398,67.769,66.8909,67.4978,13549052
2014-08-18,67.666,67.8372,67.5464,67.8303,10479816
2014-08-19,67.8149,68.1241,67.769,67.808,13040616
2014-08-20,67.8508,68.0891,67.5026,67.9539,9906639
2014-08-21,68.023,68.2068,67.6525,67.666,10015422
2014-08-22,67.4093,67.4627,66.8463,67.1342,11878399
2014-08-25,67.3452,67.4093,67.1342,67.3082,11106625
2014-08-26,67.558,68.3692,67.49,67.912,12524417
2014-08-27,68.0064,68.1289,67.5386,67.8372,8581944
2014-08-28,67.5026,67.9783,67.4822,67.8654,8896029
2014-08-29,67.7361,67.9324,67.2848,67.7915,13019384
2014-09-02,67.769,67.8791,66.6662,67.1282,13155518
2014-09-03,67.3811,67.8791,67.3811,67.5513,12443296
2014-09-04,67.4774,67.7837,66.7723,67.0397,14176846
2014-09-05,67.2983,67.6797,66.8705,67.6525,13917532
2014-09-08,67.4201,67.4201,66.4202,66.6371,14787876
2014-09-09,66.5836,66.8161,66.0847,66.3784,14322164
2014-09-10,66.3589,66.4747,65.3116,65.9836,17766583
2014-09-11,65.649,66.1947,65.3077,66.1343,14937615
